epoch,step,loss,retrieval,reliability,lr,alpha_mean,alpha_std,target_mean,target_std,best_alpha_mean,teacher_confidence,teacher_best_loss,seconds
1,1,0.07642428576946259,0.054827358573675156,0.02159692347049713,1.0000000000000002e-06,0.5,0.0,0.4818964898586273,0.10317929089069366,0.37552082538604736,0.07548993080854416,0.023372378200292587,9.018792152404785
1,20,0.02706656977534294,0.011156708002090454,0.015909861773252487,2e-05,0.49992436170578003,4.081398401467595e-06,0.4835066795349121,0.09777089208364487,0.41041669249534607,0.07297011464834213,0.002855944912880659,23.339123725891113
1,40,0.11533927917480469,0.0962948277592659,0.019044455140829086,4e-05,0.49964532256126404,1.925543438119348e-05,0.4898083806037903,0.10335861146450043,0.40625,0.08555664867162704,0.06382709741592407,38.21215081214905
1,60,0.06524959951639175,0.05215352028608322,0.013096082024276257,6e-05,0.49917683005332947,4.4223768782103434e-05,0.4794914126396179,0.08994472771883011,0.3723958432674408,0.07125349342823029,0.0209413543343544,52.695298194885254
1,80,0.11923061311244965,0.10208125412464142,0.01714935712516308,8e-05,0.49836039543151855,9.340774704469368e-05,0.4766484498977661,0.10087613761425018,0.39479169249534607,0.08978651463985443,0.07372789829969406,69.7704930305481
1,100,0.05302199721336365,0.02968788892030716,0.023334110155701637,0.0001,0.4975186288356781,0.00018897649715654552,0.4747123122215271,0.11004382371902466,0.38229167461395264,0.085688017308712,0.011240674182772636,83.80198287963867
1,120,0.08822137117385864,0.06673564016819,0.02148572728037834,9.999525801557717e-05,0.496134489774704,0.0003413767262827605,0.4908923804759979,0.10833297669887543,0.43020838499069214,0.08571633696556091,0.035314228385686874,100.51821184158325
1,140,0.09692023694515228,0.06915786862373352,0.027762366458773613,9.998103306170495e-05,0.4946760833263397,0.0005276289884932339,0.47975558042526245,0.1111694946885109,0.375,0.07733592391014099,0.01304884534329176,120.73944520950317
1,160,0.03649573028087616,0.01988891325891018,0.01660681515932083,9.995732813636154e-05,0.4924253225326538,0.00088086212053895,0.48893770575523376,0.10011547803878784,0.3838541507720947,0.06657205522060394,0.0027325288392603397,136.86708450317383
1,180,0.04303246736526489,0.02729889005422592,0.01573357917368412,9.992414823547525e-05,0.49091291427612305,0.0011022314429283142,0.48455047607421875,0.09200575202703476,0.3838541507720947,0.06980831921100616,0.0056393868289887905,155.18952322006226
