epoch,loss,embedding,classification,decoder
1,95.201511,0.652700,2.305230,6.879231
2,52.658769,0.306848,1.717744,4.796551
3,42.191388,0.224234,1.549613,4.271900
4,37.378892,0.191026,1.432622,3.950061
5,32.367217,0.149397,1.369733,3.730198
6,30.578391,0.137783,1.319629,3.603803
7,28.383510,0.117798,1.309600,3.507673
8,27.020481,0.107370,1.284500,3.438503
9,25.309439,0.092217,1.268435,3.403424
10,24.377124,0.084496,1.255485,3.372645
