epoch,step,loss,embedding,classification,decoder,lr,gate_lr,alpha_mean,alpha_std,alpha_p10,alpha_p50,alpha_p90,seconds
1,1,464.8631286621094,4.22990608215332,3.076737880706787,11.105144500732422,1e-08,1e-08,0.5,0.0,0.5,0.5,0.5,8.520249605178833
1,20,331.74676513671875,2.8974802494049072,3.0910277366638184,11.088472366333008,2.0000000000000002e-07,2.0000000000000002e-07,0.5,0.0,0.5,0.5,0.5,24.03984761238098
1,40,376.07696533203125,3.3453595638275146,3.0481081008911133,11.05994701385498,4.0000000000000003e-07,4.0000000000000003e-07,0.5,0.0,0.5,0.5,0.5,39.02397537231445
1,60,245.85728454589844,2.0356664657592773,3.127788543701172,11.012738227844238,6.000000000000001e-07,6.000000000000001e-07,0.5,0.0,0.5,0.5,0.5,55.72564363479614
1,80,219.6755828857422,1.772789478302002,3.1472365856170654,10.924264907836914,8.000000000000001e-07,8.000000000000001e-07,0.5,0.0,0.5,0.5,0.5,73.1876769065857
1,100,205.19200134277344,1.6406502723693848,3.0368852615356445,10.758115768432617,1.0000000000000002e-06,1.0000000000000002e-06,0.5,0.0,0.5,0.5,0.5,89.84174108505249
1,120,146.99090576171875,1.0595552921295166,3.048675060272217,10.548628807067871,1.2000000000000002e-06,1.2000000000000002e-06,0.5,0.0,0.5,0.5,0.5,106.27907180786133
1,140,174.48068237304688,1.3252551555633545,3.167067289352417,10.284506797790527,1.4000000000000001e-06,1.4000000000000001e-06,0.5,0.0,0.5,0.5,0.5,123.10861849784851
1,160,152.5511474609375,1.1126646995544434,3.126495122909546,10.019721984863281,1.6000000000000001e-06,1.6000000000000001e-06,0.5,0.0,0.5,0.5,0.5,139.52488255500793
1,180,156.90777587890625,1.152401089668274,3.1843466758728027,9.82419490814209,1.8000000000000001e-06,1.8000000000000001e-06,0.5,0.0,0.5,0.5,0.5,155.11600852012634
1,200,134.43858337402344,0.9327653646469116,3.1577517986297607,9.5845308303833,2.0000000000000003e-06,2.0000000000000003e-06,0.5,0.0,0.5,0.5,0.5,169.34442615509033
1,220,150.62246704101562,1.10541832447052,3.061695098876953,9.463679313659668,2.2e-06,2.2e-06,0.5,0.0,0.5,0.5,0.5,185.601411819458
1,240,141.00698852539062,0.999126672744751,3.193312644958496,9.161197662353516,2.4000000000000003e-06,2.4000000000000003e-06,0.5,0.0,0.5,0.5,0.5,201.61329460144043
1,260,137.36383056640625,0.9777820110321045,3.039696216583252,9.18867015838623,2.6e-06,2.6e-06,0.5,0.0,0.5,0.5,0.5,218.2785234451294
1,280,135.98989868164062,0.9684047698974609,3.014103651046753,9.008380889892578,2.8000000000000003e-06,2.8000000000000003e-06,0.5,0.0,0.5,0.5,0.5,233.79750776290894
1,300,126.39262390136719,0.8666757345199585,3.077939033508301,8.945662498474121,3e-06,3e-06,0.5,0.0,0.5,0.5,0.5,250.69227051734924
1,320,122.05020904541016,0.819624662399292,3.1342475414276123,8.745270729064941,3.2000000000000003e-06,3.2000000000000003e-06,0.5,0.0,0.5,0.5,0.5,266.09944343566895
1,340,128.01022338867188,0.874428391456604,3.187955617904663,8.687820434570312,3.4000000000000005e-06,3.4000000000000005e-06,0.5,0.0,0.5,0.5,0.5,280.76133012771606
