epoch,step,loss,embedding,classification,decoder,lr,gate_lr,alpha_mean,alpha_std,alpha_p10,alpha_p50,alpha_p90,seconds
1,1,595.537353515625,5.53663444519043,3.076902389526367,11.104829788208008,1e-08,1.0000000000000001e-07,0.5,0.0,0.5,0.5,0.5,6.088675498962402
1,20,290.9233093261719,2.4892141819000244,3.0912318229675293,11.089569091796875,2.0000000000000002e-07,2.0000000000000003e-06,0.5000146627426147,5.193481911192066e-07,0.500014066696167,0.5000146627426147,0.500015377998352,28.312811851501465
1,40,372.5076599121094,3.3096346855163574,3.048473358154297,11.059435844421387,4.0000000000000003e-07,4.000000000000001e-06,0.5000643730163574,2.1536488929996267e-06,0.5000617504119873,0.5000643134117126,0.5000671744346619,50.654980182647705
1,60,239.50152587890625,1.9721176624298096,3.1276767253875732,11.012996673583984,6.000000000000001e-07,6e-06,0.5001477003097534,3.891923824994592e-06,0.5001429319381714,0.5001481175422668,0.5001525282859802,73.69866919517517
1,80,243.74119567871094,2.0134294033050537,3.1477723121643066,10.920537948608398,8.000000000000001e-07,8.000000000000001e-06,0.5002610683441162,1.0770038898044731e-05,0.5002461075782776,0.5002609491348267,0.5002765655517578,96.70651888847351
1,100,185.8712158203125,1.4475960731506348,3.03550386428833,10.75656509399414,1.0000000000000002e-06,1e-05,0.5003862380981445,1.6176483768504113e-05,0.5003646016120911,0.5003845691680908,0.5004106163978577,119.77310466766357
1,120,171.3927001953125,1.303657054901123,3.0481984615325928,10.545015335083008,1.2000000000000002e-06,1.2e-05,0.5005162358283997,1.9727573089767247e-05,0.5004928708076477,0.500514030456543,0.5005469918251038,142.91304850578308
1,140,149.8389129638672,1.0788557529449463,3.1665151119232178,10.288186073303223,1.4000000000000001e-06,1.4000000000000001e-05,0.5006403923034668,2.4194203433580697e-05,0.5006109476089478,0.500637948513031,0.5006728172302246,165.90875148773193
1,160,143.71414184570312,1.0243251323699951,3.1258678436279297,10.02295207977295,1.6000000000000001e-06,1.6000000000000003e-05,0.5007895231246948,2.9233036912046373e-05,0.500754714012146,0.5007861852645874,0.5008374452590942,188.8228096961975
1,180,142.0655517578125,1.0039652585983276,3.1838855743408203,9.830177307128906,1.8000000000000001e-06,1.8e-05,0.5009429454803467,3.52371389453765e-05,0.500895619392395,0.5009405016899109,0.5009934902191162,211.86925411224365
1,200,138.82223510742188,0.9765945672988892,3.157109022140503,9.591690063476562,2.0000000000000003e-06,2e-05,0.5011392831802368,4.111354792257771e-05,0.5010866522789001,0.5011438131332397,0.5011886358261108,234.75116801261902
1,220,142.11070251464844,1.0202996730804443,3.0617198944091797,9.463529586791992,2.2e-06,2.2000000000000003e-05,0.5013300180435181,4.2622275941539556e-05,0.5012703537940979,0.5013295412063599,0.5013860464096069,257.64152455329895
1,240,109.43181610107422,0.6833775043487549,3.1929759979248047,9.164297103881836,2.4000000000000003e-06,2.4e-05,0.5014998912811279,4.2726063838927075e-05,0.5014530420303345,0.5014989376068115,0.501547634601593,280.3384187221527
1,260,121.91065216064453,0.8233057260513306,3.038970470428467,9.190376281738281,2.6e-06,2.6000000000000002e-05,0.5017184019088745,5.734943624702282e-05,0.5016562938690186,0.5017173886299133,0.5017861127853394,303.2845537662506
1,280,107.36334991455078,0.6822094321250916,3.013181686401367,9.010599136352539,2.8000000000000003e-06,2.8000000000000003e-05,0.501911461353302,5.937364403507672e-05,0.5018365383148193,0.5019114017486572,0.5019893050193787,326.2669732570648
1,300,125.62981414794922,0.8589402437210083,3.0779709815979004,8.956079483032227,3e-06,3e-05,0.5020643472671509,5.501905252458528e-05,0.5019930005073547,0.502063512802124,0.5021242499351501,349.4830095767975
1,320,133.12855529785156,0.9303684234619141,3.133981704711914,8.751886367797852,3.2000000000000003e-06,3.2000000000000005e-05,0.5023105144500732,5.675718784914352e-05,0.5022429823875427,0.5023060441017151,0.5023912787437439,372.2646460533142
1,340,152.91641235351562,1.1236004829406738,3.186884880065918,8.687518119812012,3.4000000000000005e-06,3.4000000000000007e-05,0.5025659799575806,6.339367246255279e-05,0.5024954080581665,0.5025596618652344,0.5026574730873108,395.2025282382965
1,360,146.41714477539062,1.067882776260376,3.10447096824646,8.584155082702637,3.6000000000000003e-06,3.6e-05,0.5028110146522522,7.113264291547239e-05,0.5027405023574829,0.5028115510940552,0.5029062032699585,418.27686524391174
1,380,123.58142852783203,0.83121657371521,3.1856470108032227,8.603301048278809,3.8000000000000005e-06,3.8e-05,0.5031229257583618,8.579809946240857e-05,0.5030186176300049,0.503126859664917,0.5032249689102173,432.06525135040283
1,400,124.8691635131836,0.8636992573738098,2.994135856628418,8.557878494262695,4.000000000000001e-06,4e-05,0.5034645795822144,8.904471906134859e-05,0.5033530592918396,0.503462553024292,0.5035632848739624,442.8669288158417
1,420,123.94889068603516,0.851676344871521,3.0249009132385254,8.532248497009277,4.2000000000000004e-06,4.2e-05,0.5036620497703552,8.790484571363777e-05,0.5035491585731506,0.5036737322807312,0.5037683248519897,462.29483127593994
1,440,123.24278259277344,0.8480359315872192,3.0101451873779297,8.337735176086426,4.4e-06,4.4000000000000006e-05,0.5039464235305786,9.401304123457521e-05,0.5038175582885742,0.5039633512496948,0.5040531158447266,483.00923442840576
1,460,108.4305648803711,0.6933795213699341,3.083824634552002,8.254368782043457,4.600000000000001e-06,4.600000000000001e-05,0.5040467977523804,0.00010021686466643587,0.5039024353027344,0.504051148891449,0.5041677355766296,503.909903049469
1,480,117.02906036376953,0.780971884727478,3.0570101737976074,8.361760139465332,4.800000000000001e-06,4.8e-05,0.5043190717697144,0.00011618094868026674,0.5041528344154358,0.5043114423751831,0.5044492483139038,524.8865704536438
1,500,114.38616943359375,0.7598615288734436,3.019487142562866,8.205143928527832,5e-06,5e-05,0.5046657919883728,0.00013618601951748133,0.5044583082199097,0.504685640335083,0.504834771156311,545.9902017116547
1,520,112.27149963378906,0.7371762990951538,3.0348165035247803,8.205702781677246,5.2e-06,5.2000000000000004e-05,0.5050009489059448,0.0001612960477359593,0.5047448873519897,0.5050266981124878,0.5051618814468384,567.065943479538
1,540,112.95783233642578,0.7571081519126892,2.9200189113616943,8.046828269958496,5.400000000000001e-06,5.4000000000000005e-05,0.505397617816925,0.00017723625933285803,0.5051282644271851,0.5054592490196228,0.5055813789367676,588.0407891273499
1,560,111.73649597167969,0.7377102375030518,2.974620819091797,8.219260215759277,5.600000000000001e-06,5.6000000000000006e-05,0.5054453015327454,0.00019564817193895578,0.5051405429840088,0.505490243434906,0.5056666135787964,608.9046950340271
1,580,118.47664642333984,0.8032839298248291,3.0048141479492188,8.100115776062012,5.8e-06,5.8e-05,0.5056744813919067,0.0001824833598220721,0.5053956508636475,0.5057082772254944,0.5058767795562744,629.9709303379059
1,600,105.52732849121094,0.6841988563537598,2.901090145111084,8.096546173095703,6e-06,6e-05,0.5060799717903137,0.00027232689899392426,0.5056393146514893,0.5061314702033997,0.506382167339325,650.9720911979675
1,620,118.0892105102539,0.8094872236251831,2.901984214782715,8.120644569396973,6.200000000000001e-06,6.2e-05,0.5065401792526245,0.0002681569312699139,0.5060957074165344,0.5065947771072388,0.5068440437316895,671.9308111667633
1,640,92.71131134033203,0.5566655397415161,2.902486801147461,8.019892692565918,6.4000000000000006e-06,6.400000000000001e-05,0.5066992044448853,0.0002927325258497149,0.5062358379364014,0.506738543510437,0.5069923400878906,692.8796963691711
1,660,101.22573852539062,0.6441015005111694,2.896010160446167,7.8554816246032715,6.600000000000001e-06,6.6e-05,0.5068656206130981,0.00032690545776858926,0.5062379240989685,0.5069493651390076,0.5071654915809631,714.117707490921
1,680,109.59413146972656,0.7236297130584717,2.9507007598876953,7.724154949188232,6.800000000000001e-06,6.800000000000001e-05,0.5073011517524719,0.0003161368367727846,0.5067829489707947,0.507370114326477,0.5076178908348083,735.2632944583893
1,700,123.78169250488281,0.8707098960876465,2.889885663986206,7.811840057373047,7e-06,7e-05,0.5073427557945251,0.00037549150874838233,0.5067028999328613,0.5074242353439331,0.5077414512634277,756.2768683433533
1,720,94.12530517578125,0.5782285928726196,2.8611583709716797,7.690855979919434,7.2000000000000005e-06,7.2e-05,0.5078805685043335,0.0003949578385800123,0.5073403120040894,0.5079341530799866,0.5083545446395874,777.1836373806
1,740,107.47381591796875,0.7140283584594727,2.8360304832458496,7.7106757164001465,7.4e-06,7.4e-05,0.5083453059196472,0.00045188606600277126,0.5076503157615662,0.5084716081619263,0.5088179111480713,798.1380031108856
1,760,109.09580993652344,0.7261340618133545,2.875382423400879,7.728582382202148,7.600000000000001e-06,7.6e-05,0.5088205337524414,0.0004949818248860538,0.5080910921096802,0.5089805126190186,0.509331464767456,819.1362974643707
1,780,110.91868591308594,0.7563867568969727,2.7701168060302734,7.578841209411621,7.800000000000002e-06,7.800000000000001e-05,0.5089343786239624,0.0006162500940263271,0.5078116655349731,0.5090823173522949,0.509499192237854,840.1622614860535
1,800,119.33223724365234,0.8468419909477234,2.6987369060516357,7.660667419433594,8.000000000000001e-06,8e-05,0.5089437365531921,0.000658905366435647,0.507864236831665,0.5091262459754944,0.5097060799598694,861.1987926959991
1,820,92.89602661132812,0.5872214436531067,2.664123058319092,7.532656669616699,8.2e-06,8.2e-05,0.5087641477584839,0.0005937950918450952,0.5079970359802246,0.5088573694229126,0.509333610534668,882.192634344101
1,840,121.22373962402344,0.849062979221344,2.8815603256225586,7.501840591430664,8.400000000000001e-06,8.4e-05,0.509172260761261,0.0006459126016125083,0.5081827044487,0.5093283653259277,0.5098997354507446,903.1598134040833
