epoch,step,loss,embedding,classification,decoder,consistency,sketch_keep_ratio,sketch_view2_keep_ratio,lr,gate_lr,alpha_mean,alpha_std,alpha_p10,alpha_p50,alpha_p90,seconds
1,1,498.3620300292969,4.5644850730896,3.0772769451141357,11.10451602935791,0.03621385246515274,0.7930205464363098,0.793022632598877,1e-08,1e-08,0.5,0.0,0.5,0.5,0.5,10.537058591842651
1,20,394.6261291503906,3.5259900093078613,3.0910167694091797,11.089465141296387,0.027508428320288658,0.8177157044410706,0.8177168965339661,2.0000000000000002e-07,2.0000000000000002e-07,0.5,0.0,0.5,0.5,0.5,29.595171689987183
1,40,393.8550109863281,3.5228700637817383,3.0478153228759766,11.060457229614258,0.029386024922132492,0.7999036908149719,0.7999315857887268,4.0000000000000003e-07,4.0000000000000003e-07,0.5,0.0,0.5,0.5,0.5,51.590861082077026
1,60,293.5950622558594,2.5127370357513428,3.127892017364502,11.013876914978027,0.028574194759130478,0.7818320393562317,0.7818966507911682,6.000000000000001e-07,6.000000000000001e-07,0.5,0.0,0.5,0.5,0.5,72.32224702835083
1,80,197.8384246826172,1.5541813373565674,3.1469335556030273,10.9271821975708,0.02377903275191784,0.8078322410583496,0.8078346252441406,8.000000000000001e-07,8.000000000000001e-07,0.5,0.0,0.5,0.5,0.5,93.94049835205078
1,100,185.50302124023438,1.4435851573944092,3.0361850261688232,10.762510299682617,0.02014113962650299,0.8256632089614868,0.8256620764732361,1.0000000000000002e-06,1.0000000000000002e-06,0.5,0.0,0.5,0.5,0.5,114.84212803840637
1,120,158.79962158203125,1.1775165796279907,3.048499584197998,10.546503067016602,0.016465293243527412,0.790147602558136,0.7901512980461121,1.2000000000000002e-06,1.2000000000000002e-06,0.5,0.0,0.5,0.5,0.5,135.86790418624878
1,140,173.6427459716797,1.3167006969451904,3.1675162315368652,10.282617568969727,0.014873471111059189,0.826183021068573,0.8261767625808716,1.4000000000000001e-06,1.4000000000000001e-06,0.5,0.0,0.5,0.5,0.5,157.70771646499634
1,160,158.07452392578125,1.1678874492645264,3.126171112060547,10.010241508483887,0.013841993175446987,0.8091712594032288,0.8091489672660828,1.6000000000000001e-06,1.6000000000000001e-06,0.5,0.0,0.5,0.5,0.5,178.59433007240295
1,180,153.12538146972656,1.1145563125610352,3.1837286949157715,9.819259643554688,0.013211349956691265,0.8098443746566772,0.80986487865448,1.8000000000000001e-06,1.8000000000000001e-06,0.5,0.0,0.5,0.5,0.5,200.79682421684265
