epoch,loss,embedding,classification,decoder
1,93.017025,0.631573,2.300346,6.856286
2,50.774604,0.289099,1.710922,4.755521
3,40.741260,0.211420,1.536970,4.229559
4,36.145648,0.180446,1.419210,3.908974
5,32.541518,0.152765,1.357548,3.689567
6,29.873234,0.132285,1.307930,3.565425
7,28.137228,0.116835,1.298255,3.471212
8,26.338025,0.102127,1.272322,3.402075
9,24.925059,0.089891,1.256784,3.368149
10,23.842163,0.080679,1.243661,3.337645
