[rank1]:[W723 22:00:49.802009433 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W723 22:00:49.857492411 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[clip_pretrained] loaded 305 tensors from model/ViT-B-16.pt
[clip_pretrained] missing total=282 (visual2*/decoder*/classification* expected = 282; backbone gaps must be 0 -> 0 [])
[clip_pretrained] unexpected (ignored) = 3 ['input_resolution', 'context_length', 'vocab_size']
epoch=1 step=780/29520 loss=117.1369 Le=0.8181 Lc=2.7740 Ld=7.5825 lr=7.800e-06 peak_mem=25.49GiB
epoch=1 step=800/29520 loss=92.6286 Le=0.5795 Lc=2.7010 Ld=7.6639 lr=8.000e-06 peak_mem=25.49GiB
epoch=1 step=820/29520 loss=103.6194 Le=0.6944 Lc=2.6644 Ld=7.5357 lr=8.200e-06 peak_mem=25.49GiB
epoch=1 step=840/29520 loss=104.1649 Le=0.6783 Lc=2.8828 Ld=7.5050 lr=8.400e-06 peak_mem=25.49GiB
epoch=1 step=860/29520 loss=71.7529 Le=0.3649 Lc=2.7866 Ld=7.3970 lr=8.600e-06 peak_mem=25.49GiB
epoch=1 step=880/29520 loss=119.1193 Le=0.8454 Lc=2.7164 Ld=7.4205 lr=8.800e-06 peak_mem=25.49GiB
epoch=1 step=900/29520 loss=104.0627 Le=0.6766 Lc=2.8982 Ld=7.4228 lr=9.000e-06 peak_mem=25.49GiB
epoch=1 step=920/29520 loss=95.1263 Le=0.6047 Lc=2.7320 Ld=7.3319 lr=9.200e-06 peak_mem=25.49GiB
epoch=1 step=940/29520 loss=98.7409 Le=0.6441 Lc=2.7032 Ld=7.3027 lr=9.400e-06 peak_mem=25.49GiB
epoch=1 step=960/29520 loss=87.6385 Le=0.5288 Lc=2.7459 Ld=7.3043 lr=9.600e-06 peak_mem=25.49GiB
epoch=1 step=980/29520 loss=103.9935 Le=0.7090 Lc=2.5676 Ld=7.4153 lr=9.800e-06 peak_mem=25.49GiB
epoch=1 step=1000/29520 loss=99.5052 Le=0.6578 Lc=2.6501 Ld=7.2265 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1020/29520 loss=80.6572 Le=0.4667 Lc=2.6710 Ld=7.2719 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1040/29520 loss=76.0480 Le=0.4444 Lc=2.4514 Ld=7.0940 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1060/29520 loss=115.9139 Le=0.8277 Lc=2.6265 Ld=6.8808 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1080/29520 loss=73.8779 Le=0.4260 Lc=2.4455 Ld=6.8185 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1100/29520 loss=82.9278 Le=0.5198 Lc=2.4012 Ld=6.9373 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1120/29520 loss=96.5919 Le=0.6497 Lc=2.4561 Ld=7.0651 lr=1.000e-05 peak_mem=25.49GiB
epoch=1 step=1140/29520 loss=73.2314 Le=0.4217 Lc=2.4261 Ld=6.8020 lr=9.999e-06 peak_mem=25.49GiB
epoch=1 step=1160/29520 loss=74.2149 Le=0.4508 Lc=2.2291 Ld=6.8418 lr=9.999e-06 peak_mem=25.49GiB
epoch=1 step=1180/29520 loss=118.5750 Le=0.8778 Lc=2.3878 Ld=6.9135 lr=9.999e-06 peak_mem=25.49GiB
epoch=1 step=1200/29520 loss=61.9658 Le=0.3416 Lc=2.0983 Ld=6.8184 lr=9.999e-06 peak_mem=25.49GiB
epoch=1 step=1220/29520 loss=97.7561 Le=0.6871 Lc=2.2357 Ld=6.6863 lr=9.999e-06 peak_mem=25.49GiB
epoch=1 step=1240/29520 loss=75.3592 Le=0.4514 Lc=2.3515 Ld=6.7060 lr=9.998e-06 peak_mem=25.49GiB
epoch=1 step=1260/29520 loss=88.0046 Le=0.6038 Lc=2.0772 Ld=6.8498 lr=9.998e-06 peak_mem=25.49GiB
epoch=1 step=1280/29520 loss=68.5575 Le=0.3847 Lc=2.3425 Ld=6.6587 lr=9.998e-06 peak_mem=25.49GiB
epoch=1 step=1300/29520 loss=104.4019 Le=0.7678 Lc=2.1123 Ld=6.5005 lr=9.998e-06 peak_mem=25.49GiB
epoch=1 step=1320/29520 loss=58.8899 Le=0.3001 Lc=2.2281 Ld=6.5993 lr=9.997e-06 peak_mem=25.49GiB
epoch=1 step=1340/29520 loss=81.7665 Le=0.5316 Lc=2.1939 Ld=6.6629 lr=9.997e-06 peak_mem=25.49GiB
epoch=1 step=1360/29520 loss=84.5421 Le=0.5609 Lc=2.2030 Ld=6.4198 lr=9.996e-06 peak_mem=25.49GiB
epoch=1 step=1380/29520 loss=76.9350 Le=0.4948 Lc=2.1053 Ld=6.4003 lr=9.996e-06 peak_mem=25.49GiB
epoch=1 step=1400/29520 loss=88.1239 Le=0.6118 Lc=2.0594 Ld=6.3518 lr=9.996e-06 peak_mem=25.49GiB
epoch=1 step=1420/29520 loss=67.5912 Le=0.4162 Lc=1.9472 Ld=6.4981 lr=9.995e-06 peak_mem=25.49GiB
epoch=1 step=1440/29520 loss=90.0672 Le=0.6342 Lc=2.0344 Ld=6.3005 lr=9.995e-06 peak_mem=25.49GiB
