epoch,step,loss,embedding,classification,decoder,lr,seconds
1,1,465.5833435058594,4.237101078033447,3.0767886638641357,11.105354309082031,1e-08,8.027242660522461
1,20,318.3739929199219,2.763774871826172,3.09065580368042,11.089935302734375,2.0000000000000002e-07,27.773016691207886
1,40,370.6447448730469,3.2910399436950684,3.048006772994995,11.060661315917969,4.0000000000000003e-07,47.451860189437866
1,60,234.09642028808594,1.918116569519043,3.127164840698242,11.013100624084473,6.000000000000001e-07,68.04783940315247
1,80,207.39149475097656,1.6500542163848877,3.146284818649292,10.923238754272461,8.000000000000001e-07,87.25040125846863
1,100,203.47140502929688,1.6235647201538086,3.0359301567077637,10.755635261535645,1.0000000000000002e-06,107.01115584373474
1,120,146.93402099609375,1.0590627193450928,3.048002243041992,10.547725677490234,1.2000000000000002e-06,125.67998123168945
1,140,175.1483612060547,1.3319945335388184,3.1659445762634277,10.28947925567627,1.4000000000000001e-06,145.70991683006287
1,160,147.15939331054688,1.0588147640228271,3.12544584274292,10.02345085144043,1.6000000000000001e-06,166.23025250434875
1,180,149.70945739746094,1.080338954925537,3.183928966522217,9.83626651763916,1.8000000000000001e-06,184.96554970741272
1,200,138.89341735839844,0.9772676229476929,3.156618118286133,9.600481986999512,2.0000000000000003e-06,205.5013370513916
1,220,153.7772979736328,1.136885404586792,3.061164617538452,9.477118492126465,2.2e-06,225.37021231651306
1,240,137.99334716796875,0.9689447283744812,3.1925606727600098,9.1732816696167,2.4000000000000003e-06,245.8133099079132
1,260,136.15232849121094,0.9656598567962646,3.039074659347534,9.195592880249023,2.6e-06,266.39478373527527
1,280,132.3977813720703,0.9325424432754517,3.013087749481201,9.01265811920166,2.8000000000000003e-06,286.3368225097656
1,300,122.88679504394531,0.8315784931182861,3.0776526927948,8.952411651611328,3e-06,306.46136832237244
1,320,120.07646179199219,0.7999024391174316,3.13368558883667,8.749358177185059,3.2000000000000003e-06,327.0326325893402
1,340,124.91071319580078,0.8434462547302246,3.187324285507202,8.692837715148926,3.4000000000000005e-06,346.89882349967957
1,360,119.49459075927734,0.7986899614334106,3.103792905807495,8.587667465209961,3.6000000000000003e-06,367.4792745113373
1,380,129.33116149902344,0.8887280225753784,3.185153007507324,8.606828689575195,3.8000000000000005e-06,387.31088185310364
1,400,103.6316146850586,0.6512590646743774,2.994311809539795,8.562581062316895,4.000000000000001e-06,407.98624563217163
1,420,102.7889404296875,0.6400253772735596,3.0251567363739014,8.534832954406738,4.2000000000000004e-06,428.2515206336975
1,440,129.68710327148438,0.9124220609664917,3.0104923248291016,8.339980125427246,4.4e-06,448.06100821495056
